team_name,abbreviation,venue_name,altitude,left_field,left_center,center,right_center,right_field
Arizona Diamondbacks,ARI,Chase Field,,,,,,
Athletics,ATH,Sutter Health Park,,,,,,
Atlanta Braves,ATL,Truist Park,,,,,,
Baltimore Orioles,BAL,Oriole Park at Camden Yards,,,,,,
Boston Red Sox,BOS,Fenway Park,,,,,,
Chicago Cubs,CHC,Wrigley Field,,,,,,
Chicago White Sox,CWS,Rate Field,,,,,,
Cincinnati Reds,CIN,Great American Ball Park,,,,,,
Cleveland Guardians,CLE,Progressive Field,,,,,,
Colorado Rockies,COL,Coors Field,,,,,,
Detroit Tigers,DET,Comerica Park,,,,,,
Hoston Astros,HOU,Daikin Park,,,,,,
Kansas City Royals,KC,Kauffman Stadium,,,,,,
Los Angeles Angels,LAA,Angel Stadium,,,,,,
Los Angeles Dodgers,LAD,Dodger Stadium,,,,,,
Miami Marlins,MIA,loadDepot Park,,,,,,
Milwaukee Brewers,MIL,American Family Field,,,,,,
Minnesota Twins,MIN,Target Field,,,,,,
New York Mets,NYM,Citi Field,,,,,,
New York Yankees,NYY,Yankee Stadium,,,,,,
Philadelphia Phillies,PHI,Citizens Bank Park,,,,,,
Pittsburgh Pirates,PIT,PNC Park,,,,,,
San Diego Padres,SD,Petco Park,,,,,,
San Francisco Giants,SF,Oracle Park,,,,,,
Seattle Mariners,SEA,T-Mobile Park,,,,,,
St. Louis Cardinals,STL,Busch Stadium,,,,,,
Tampa Bay Rays,TB,Tropicana Field,,,,,,
Texas Rangers,TEX,Globe Life Field,,,,,,
Toronto Blue Jays,TOR,Rogers Centre,,,,,,
Washington Nationals,WSH,Nationals Park,,,,,,
