stadium,pitch_type,total_pitches
ATL,FF,7445
ATL,SL,4171
ATL,SI,3316
ATL,CU,2498
ATL,CH,2050
ATL,FC,1832
ATL,ST,1151
ATL,FS,562
ATL,KC,227
ATL,EP,68
ATL,KN,43
ATL,SV,37
ATL,FA,32
ATL,SC,11
ATL,CS,2
ATL,PO,2
AZ,FF,8616
AZ,SI,3733
AZ,SL,3547
AZ,CH,2650
AZ,FC,1591
AZ,CU,1451
AZ,ST,1377
AZ,KC,746
AZ,FS,579
AZ,KN,55
AZ,SV,52
AZ,SC,21
AZ,EP,15
AZ,PO,2
AZ,FA,1
AZ,CS,1
BAL,FF,7532
BAL,SI,3245
BAL,CH,2853
BAL,SL,2761
BAL,FC,2684
BAL,CU,2101
BAL,ST,1514
BAL,FS,563
BAL,KC,462
BAL,SV,217
BAL,PO,4
BOS,FF,5904
BOS,SI,3870
BOS,ST,3300
BOS,FC,3147
BOS,CH,2265
BOS,SL,2238
BOS,CU,1333
BOS,FS,1000
BOS,KC,402
BOS,SV,116
BOS,EP,70
BOS,KN,39
BOS,FA,18
BOS,CS,3
BOS,PO,1
CHC,FF,8015
CHC,SI,3638
CHC,SL,2615
CHC,ST,2185
CHC,CH,1960
CHC,FC,1901
CHC,CU,1467
CHC,FS,1109
CHC,KC,508
CHC,EP,16
CHC,SV,14
CHC,FA,3
CHC,CS,2
CHC,PO,2
CIN,FF,7800
CIN,SI,3481
CIN,SL,3403
CIN,CH,2387
CIN,FC,2295
CIN,CU,1492
CIN,ST,1407
CIN,FS,906
CIN,KC,333
CIN,SV,101
CIN,KN,37
CIN,FA,31
CIN,PO,7
CIN,EP,1
CLE,FF,7842
CLE,SL,3295
CLE,CH,2693
CLE,SI,2560
CLE,FC,2066
CLE,CU,1904
CLE,ST,1497
CLE,FS,763
CLE,KC,280
CLE,SV,67
CLE,KN,57
CLE,EP,8
CLE,FA,2
CLE,PO,1
COL,FF,7940
COL,SL,3820
COL,SI,3354
COL,CH,2651
COL,FC,1952
COL,CU,1654
COL,ST,1242
COL,FS,742
COL,KC,664
COL,SV,109
COL,KN,67
COL,FO,27
COL,SC,9
COL,EP,8
COL,PO,4
COL,CS,1
CWS,FF,7986
CWS,SL,3946
CWS,SI,2955
CWS,CH,2651
CWS,FC,2450
CWS,ST,1960
CWS,CU,1227
CWS,FS,446
CWS,KC,152
CWS,SV,32
CWS,FA,9
CWS,EP,7
DET,FF,7432
DET,SL,4088
DET,SI,3515
DET,CH,2684
DET,ST,1365
DET,FC,1314
DET,FS,997
DET,CU,975
DET,KC,552
DET,SV,99
DET,FA,39
DET,EP,27
DET,CS,10
DET,SC,9
DET,PO,1
HOU,FF,7553
HOU,SL,3734
HOU,SI,3421
HOU,CH,2555
HOU,CU,2007
HOU,FC,1678
HOU,ST,1422
HOU,FS,597
HOU,KC,376
HOU,SV,106
HOU,FA,25
HOU,SC,7
HOU,EP,5
KC,FF,6940
KC,SL,3843
KC,SI,3813
KC,CH,2622
KC,CU,1877
KC,FC,1599
KC,ST,1344
KC,FS,473
KC,KC,442
KC,SV,212
KC,FA,31
KC,PO,3
KC,CS,1
KC,FO,1
LAA,FF,8019
LAA,SL,4058
LAA,CH,3402
LAA,SI,3299
LAA,FC,1578
LAA,ST,1189
LAA,CU,1135
LAA,KC,681
LAA,FS,514
LAA,SV,56
LAA,KN,35
LAA,FA,20
LAA,PO,5
LAD,FF,7926
LAD,SL,3726
LAD,SI,3421
LAD,CH,2007
LAD,FC,1704
LAD,ST,1580
LAD,CU,1440
LAD,KC,812
LAD,FS,624
LAD,SC,55
LAD,KN,35
LAD,FO,29
LAD,SV,25
LAD,EP,18
LAD,FA,1
LAD,PO,1
MIA,FF,7437
MIA,SL,4229
MIA,SI,3952
MIA,CH,2727
MIA,FC,1980
MIA,ST,1617
MIA,CU,1400
MIA,FS,499
MIA,KC,201
MIA,SV,119
MIA,FA,80
MIA,KN,39
MIA,EP,29
MIA,CS,5
MIA,PO,2
MIA,SC,1
MIL,FF,7394
MIL,SI,4881
MIL,SL,3475
MIL,FC,2551
MIL,CH,2109
MIL,CU,1467
MIL,ST,1388
MIL,FS,578
MIL,KC,301
MIL,FA,97
MIL,SV,74
MIL,SC,12
MIL,EP,6
MIL,CS,4
MIL,KN,2
MIL,PO,2
MIN,FF,8252
MIN,SL,4142
MIN,CH,2967
MIN,SI,2296
MIN,ST,1914
MIN,FC,1537
MIN,CU,1381
MIN,FS,971
MIN,KC,528
MIN,SV,65
MIN,EP,41
NYM,FF,7461
NYM,SI,4888
NYM,SL,3245
NYM,CH,2298
NYM,ST,2118
NYM,FC,1725
NYM,CU,1398
NYM,FS,546
NYM,KC,210
NYM,SV,126
NYM,KN,46
NYM,FO,24
NYM,EP,19
NYM,FA,2
NYM,PO,1
NYY,FF,7562
NYY,SL,3921
NYY,SI,3803
NYY,CH,2823
NYY,FC,2520
NYY,ST,1739
NYY,CU,1096
NYY,FS,696
NYY,KC,430
NYY,SV,294
NYY,FA,22
NYY,KN,12
NYY,EP,3
OAK,FF,7895
OAK,SL,4264
OAK,SI,3327
OAK,CH,2451
OAK,ST,1813
OAK,FC,1757
OAK,CU,1197
OAK,FS,480
OAK,KC,279
OAK,EP,26
OAK,FA,23
OAK,SV,21
OAK,PO,3
OAK,KN,2
PHI,FF,6489
PHI,SI,5034
PHI,SL,2919
PHI,CH,2238
PHI,FC,1763
PHI,ST,1733
PHI,CU,1590
PHI,FS,809
PHI,KC,704
PHI,EP,81
PHI,SV,69
PHI,KN,48
PHI,FA,10
PHI,CS,5
PIT,FF,7571
PIT,SI,3890
PIT,SL,3737
PIT,FC,2039
PIT,CH,1871
PIT,CU,1867
PIT,ST,1550
PIT,FS,876
PIT,KC,291
PIT,SV,25
PIT,EP,24
PIT,FA,4
PIT,PO,3
PIT,KN,2
SD,FF,7170
SD,SI,4282
SD,SL,3515
SD,CH,2234
SD,ST,2023
SD,FC,1560
SD,CU,1270
SD,FS,579
SD,KN,452
SD,KC,394
SD,SV,102
SD,FA,25
SD,FO,21
SD,SC,15
SD,EP,2
SD,PO,1
SEA,FF,7838
SEA,SL,3973
SEA,SI,3597
SEA,CH,2036
SEA,ST,1706
SEA,FC,1464
SEA,CU,1034
SEA,FS,1013
SEA,KC,494
SEA,SV,49
SEA,EP,26
SEA,FA,12
SEA,CS,3
SEA,KN,3
SEA,PO,1
SF,FF,6594
SF,SI,5150
SF,SL,3411
SF,CH,2722
SF,ST,1744
SF,CU,1482
SF,FC,1266
SF,FS,676
SF,KC,509
SF,SV,280
SF,FA,53
SF,KN,35
SF,EP,32
STL,FF,7509
STL,SI,4484
STL,SL,3631
STL,FC,1956
STL,CH,1832
STL,ST,1729
STL,CU,1402
STL,FS,365
STL,KC,273
STL,FO,48
STL,SV,14
STL,FA,14
STL,SC,11
STL,CS,9
STL,KN,6
STL,PO,6
STL,EP,1
TB,FF,7524
TB,SI,3527
TB,SL,3498
TB,FC,2679
TB,CH,2186
TB,ST,1803
TB,CU,1285
TB,FS,1041
TB,KC,332
TB,SV,141
TB,FA,21
TB,EP,10
TB,KN,3
TB,PO,1
TEX,FF,7929
TEX,SL,4402
TEX,SI,3049
TEX,CH,2611
TEX,FC,2104
TEX,CU,1266
TEX,FS,1100
TEX,ST,857
TEX,KC,393
TEX,SV,44
TEX,EP,17
TEX,CS,7
TEX,FO,4
TEX,PO,1
TEX,KN,1
TOR,FF,7417
TOR,SI,4598
TOR,SL,3207
TOR,CH,1945
TOR,FC,1774
TOR,CU,1449
TOR,FS,1196
TOR,ST,1110
TOR,SV,488
TOR,KC,250
TOR,FA,49
TOR,KN,11
TOR,EP,3
TOR,PO,1
WSH,FF,8252
WSH,SI,3465
WSH,SL,3452
WSH,CH,2108
WSH,FC,1914
WSH,CU,1835
WSH,FS,899
WSH,ST,814
WSH,KC,354
WSH,SV,72
WSH,KN,27
WSH,EP,12
WSH,FA,8
WSH,CS,6
WSH,SC,2
