venue_name,home_team_name,pitch_name,pitch_type,zone,zone_description,p_throws,total_pitches,strike_count,ball_count,in_play_count,single_count,double_count,triple_count,home_run_count,sac_fly_count,sac_bunt_count,field_out_count,force_out_count,fielders_choice_count,fielders_choice_out_count,gidp_count,double_play_count,error_count
Sutter Health Park,Athletics,Slider,SL,14,low and right outside the strike zone,R,1104,314,708,53,17,0,0,0,0,0,32,2,0,1,0,0,1
Sutter Health Park,Athletics,Four-seam fastball,FF,11,up and left outside the strike zone,R,941,214,683,44,11,3,0,1,0,0,28,0,0,0,0,0,1
Sutter Health Park,Athletics,Sweeper,ST,14,low and right outside the strike zone,R,746,197,488,51,15,2,0,0,1,0,29,3,1,0,0,0,0
Sutter Health Park,Athletics,Four-seam fastball,FF,12,up and right outside the strike zone,R,712,197,447,68,11,3,1,0,0,1,47,1,1,0,2,0,1
Sutter Health Park,Athletics,Four-seam fastball,FF,12,up and right outside the strike zone,L,665,185,445,34,6,3,1,2,1,0,18,1,0,0,2,0,0
Sutter Health Park,Athletics,Four-seam fastball,FF,14,low and right outside the strike zone,R,478,62,399,17,3,1,1,1,0,0,10,1,0,0,0,0,0
Sutter Health Park,Athletics,Sinker,SI,11,up and left outside the strike zone,R,445,110,276,59,12,2,0,1,0,0,37,1,1,0,5,0,0
Sutter Health Park,Athletics,Four-seam fastball,FF,6,middle right inside the strike zone,R,438,331,2,105,14,8,0,9,1,0,67,3,0,0,3,0,0
Sutter Health Park,Athletics,Four-seam fastball,FF,2,upper middle inside the strike zone,R,436,321,12,103,22,10,0,8,3,0,58,0,1,0,0,1,0
Sutter Health Park,Athletics,Changeup,CH,14,low and right outside the strike zone,L,435,141,226,63,16,3,0,1,1,0,36,3,1,1,0,0,1
Sutter Health Park,Athletics,Four-seam fastball,FF,5,middle middle inside the strike zone,R,434,282,0,152,37,12,4,13,3,0,75,3,0,0,1,1,3
Sutter Health Park,Athletics,Sinker,SI,13,low and left outside the strike zone,R,382,110,238,34,2,5,0,1,0,1,15,5,1,0,4,0,0
Sutter Health Park,Athletics,Cutter,FC,14,low and right outside the strike zone,R,373,90,266,17,5,0,1,1,1,0,8,0,0,0,0,1,0
Sutter Health Park,Athletics,Four-seam fastball,FF,3,upper right inside the strike zone,R,367,254,27,86,16,8,1,3,2,0,54,1,0,0,1,0,0
Sutter Health Park,Athletics,Sinker,SI,14,low and right outside the strike zone,R,343,42,294,6,1,0,0,0,0,0,5,0,0,0,0,0,0
Sutter Health Park,Athletics,Changeup,CH,13,low and left outside the strike zone,R,342,114,199,22,8,1,0,0,0,0,12,1,0,0,0,0,0
Sutter Health Park,Athletics,Four-seam fastball,FF,1,upper left inside the strike zone,R,330,217,35,78,11,3,0,5,5,0,52,0,0,1,0,0,1
Sutter Health Park,Athletics,Four-seam fastball,FF,11,up and left outside the strike zone,L,313,61,236,16,3,3,0,1,0,0,8,0,0,0,1,0,0
Sutter Health Park,Athletics,Changeup,CH,14,low and right outside the strike zone,R,294,50,228,11,2,1,0,0,0,0,8,0,0,0,0,0,0
Sutter Health Park,Athletics,Slider,SL,13,low and left outside the strike zone,L,281,72,188,10,5,2,0,0,0,0,3,0,0,0,0,0,0
Sutter Health Park,Athletics,Sinker,SI,5,middle middle inside the strike zone,R,260,124,0,136,42,6,0,6,0,0,68,5,0,0,6,0,3
Sutter Health Park,Athletics,Four-seam fastball,FF,4,middle left inside the strike zone,R,257,166,6,85,16,10,0,6,1,2,46,2,0,0,0,1,1
Sutter Health Park,Athletics,Sinker,SI,4,middle left inside the strike zone,R,251,128,4,119,20,10,0,6,0,0,71,5,1,0,3,1,2
Sutter Health Park,Athletics,Four-seam fastball,FF,2,upper middle inside the strike zone,L,238,171,5,62,14,1,0,5,1,0,37,3,0,0,1,0,0
Sutter Health Park,Athletics,Curveball,CU,14,low and right outside the strike zone,R,236,53,160,9,4,0,0,0,0,0,5,0,0,0,0,0,0
Sutter Health Park,Athletics,Sinker,SI,8,lower middle inside the strike zone,R,236,153,7,76,28,5,0,1,0,1,30,7,0,0,4,0,0
Sutter Health Park,Athletics,Slider,SL,9,lower right inside the strike zone,R,231,152,10,69,12,4,1,3,0,0,39,4,0,0,3,2,1
Sutter Health Park,Athletics,Four-seam fastball,FF,3,upper right inside the strike zone,L,231,169,14,48,11,3,0,2,0,0,31,0,0,0,0,0,1
Sutter Health Park,Athletics,Four-seam fastball,FF,5,middle middle inside the strike zone,L,228,155,0,73,12,6,0,7,1,0,44,0,1,0,1,0,1
Sutter Health Park,Athletics,Cutter,FC,12,up and right outside the strike zone,R,221,54,146,21,7,1,1,0,0,0,11,0,0,0,1,0,0
Sutter Health Park,Athletics,Four-seam fastball,FF,8,lower middle inside the strike zone,R,208,141,7,60,13,5,0,2,1,0,36,2,0,0,1,0,0
Sutter Health Park,Athletics,Four-seam fastball,FF,9,lower right inside the strike zone,R,202,152,16,34,10,2,0,1,1,0,19,0,0,0,1,0,0
Sutter Health Park,Athletics,Four-seam fastball,FF,6,middle right inside the strike zone,L,195,135,1,59,9,1,0,4,3,0,39,0,0,0,2,1,0
Sutter Health Park,Athletics,Curveball,CU,13,low and left outside the strike zone,L,191,43,125,7,1,1,0,0,0,0,5,0,0,0,0,0,0
Sutter Health Park,Athletics,Four-seam fastball,FF,13,low and left outside the strike zone,L,185,13,170,2,1,0,0,0,0,0,0,1,0,0,0,0,0
Sutter Health Park,Athletics,Sinker,SI,6,middle right inside the strike zone,R,183,141,4,38,8,4,0,0,0,0,23,0,0,0,2,0,1
Sutter Health Park,Athletics,Sinker,SI,7,lower left inside the strike zone,R,182,126,11,45,8,1,0,2,0,0,29,2,0,0,3,0,0
Sutter Health Park,Athletics,Four-seam fastball,FF,4,middle left inside the strike zone,L,182,138,5,39,8,4,0,1,0,0,25,1,0,0,0,0,0
Sutter Health Park,Athletics,Slider,SL,5,middle middle inside the strike zone,R,180,108,0,72,16,7,0,7,1,0,41,0,0,0,0,0,0
Sutter Health Park,Athletics,Slider,SL,6,middle right inside the strike zone,R,171,112,0,59,13,5,0,6,0,1,33,0,0,0,1,0,0
Sutter Health Park,Athletics,Changeup,CH,12,up and right outside the strike zone,L,170,41,113,16,3,0,0,0,0,0,11,1,0,0,1,0,0
Sutter Health Park,Athletics,Cutter,FC,6,middle right inside the strike zone,R,160,98,1,61,12,2,0,3,1,2,40,0,0,0,1,0,0
Sutter Health Park,Athletics,Sweeper,ST,6,middle right inside the strike zone,R,158,100,0,58,9,6,0,2,1,0,38,1,0,0,1,0,0
Sutter Health Park,Athletics,Slider,SL,8,lower middle inside the strike zone,R,153,107,3,43,6,5,0,5,1,0,22,1,0,0,3,0,0
Sutter Health Park,Athletics,Sweeper,ST,13,low and left outside the strike zone,L,148,36,103,6,2,0,0,0,0,0,4,0,0,0,0,0,0
Sutter Health Park,Athletics,Sinker,SI,1,upper left inside the strike zone,R,148,86,14,48,7,9,0,0,1,0,28,2,0,0,1,0,0
Sutter Health Park,Athletics,Sinker,SI,2,upper middle inside the strike zone,R,146,99,5,42,8,2,0,1,0,0,29,1,0,0,1,0,0
Sutter Health Park,Athletics,Changeup,CH,11,up and left outside the strike zone,R,145,25,113,7,2,0,0,0,0,0,5,0,0,0,0,0,0
Sutter Health Park,Athletics,Four-seam fastball,FF,1,upper left inside the strike zone,L,144,92,24,28,6,2,0,1,1,0,16,2,0,0,0,0,0
Sutter Health Park,Athletics,Four-seam fastball,FF,13,low and left outside the strike zone,R,144,20,114,10,4,0,0,0,0,0,4,1,0,1,0,0,0
Sutter Health Park,Athletics,Sinker,SI,12,up and right outside the strike zone,R,144,23,115,6,0,1,0,1,0,0,3,0,1,0,0,0,0
Sutter Health Park,Athletics,Cutter,FC,11,up and left outside the strike zone,R,142,22,117,3,0,0,0,0,0,0,3,0,0,0,0,0,0
Sutter Health Park,Athletics,Sinker,SI,9,lower right inside the strike zone,R,137,82,26,29,10,0,0,2,0,0,14,0,0,0,3,0,0
Sutter Health Park,Athletics,Cutter,FC,5,middle middle inside the strike zone,R,136,81,0,55,16,6,0,4,2,0,22,1,0,0,3,0,1
Sutter Health Park,Athletics,Four-seam fastball,FF,14,low and right outside the strike zone,L,135,45,81,9,1,1,0,0,1,0,6,0,0,0,0,0,0
Sutter Health Park,Athletics,Changeup,CH,8,lower middle inside the strike zone,R,130,84,8,38,4,3,1,3,0,0,26,0,0,0,1,0,0
Sutter Health Park,Athletics,Changeup,CH,13,low and left outside the strike zone,L,130,22,103,5,1,1,0,0,0,0,2,0,0,0,1,0,0
Sutter Health Park,Athletics,Changeup,CH,7,lower left inside the strike zone,R,129,84,4,41,5,2,0,4,1,0,26,0,0,0,3,0,0
Sutter Health Park,Athletics,Splitter,FS,13,low and left outside the strike zone,R,128,49,71,6,2,0,0,0,0,0,2,1,0,0,1,0,0
Sutter Health Park,Athletics,Changeup,CH,9,lower right inside the strike zone,L,127,75,5,47,12,2,0,1,1,0,29,0,1,0,0,0,1
Sutter Health Park,Athletics,Sweeper,ST,5,middle middle inside the strike zone,R,127,72,0,55,10,8,0,5,0,0,29,1,0,0,1,0,1
Sutter Health Park,Athletics,Sweeper,ST,9,lower right inside the strike zone,R,125,72,10,42,9,3,0,2,0,0,28,0,0,0,0,0,0
Sutter Health Park,Athletics,Cutter,FC,2,upper middle inside the strike zone,R,120,89,7,24,4,3,0,1,0,0,15,0,0,0,0,0,1
Sutter Health Park,Athletics,Four-seam fastball,FF,7,lower left inside the strike zone,R,120,92,9,19,6,2,0,0,0,0,9,1,0,0,1,0,0
Sutter Health Park,Athletics,Slider,SL,14,low and right outside the strike zone,L,116,36,65,14,3,2,1,1,0,0,6,1,0,0,0,0,0
Sutter Health Park,Athletics,Slider,SL,12,up and right outside the strike zone,R,115,37,67,11,2,0,0,1,0,0,8,0,0,0,0,0,0
Sutter Health Park,Athletics,Sweeper,ST,12,up and right outside the strike zone,R,114,32,66,16,2,0,0,0,0,1,10,1,0,1,0,0,1
