venue_name,home_team_name,pitch_name,pitch_type,zone,zone_description,p_throws,total_pitches,strike_count,ball_count,in_play_count,single_count,double_count,triple_count,home_run_count,sac_fly_count,sac_bunt_count,field_out_count,force_out_count,fielders_choice_count,fielders_choice_out_count,gidp_count,double_play_count,error_count
Truist Park,Atlanta Braves,Slider,SL,14,low and right outside the strike zone,R,1241,386,752,56,14,1,0,1,2,0,34,1,0,0,2,0,1
Truist Park,Atlanta Braves,Four-seam fastball,FF,11,up and left outside the strike zone,R,889,196,663,30,5,2,0,1,0,2,16,1,0,0,1,1,1
Truist Park,Atlanta Braves,Curveball,CU,14,low and right outside the strike zone,R,646,204,375,39,11,2,0,0,0,0,19,3,0,1,3,0,0
Truist Park,Atlanta Braves,Four-seam fastball,FF,12,up and right outside the strike zone,R,556,142,389,25,5,1,0,1,2,0,15,1,0,0,0,0,0
Truist Park,Atlanta Braves,Four-seam fastball,FF,14,low and right outside the strike zone,R,515,69,410,36,11,2,0,1,0,0,20,0,0,0,0,2,0
Truist Park,Atlanta Braves,Four-seam fastball,FF,5,middle middle inside the strike zone,R,473,349,0,124,22,12,0,4,2,1,81,1,0,0,1,0,0
Truist Park,Atlanta Braves,Slider,SL,13,low and left outside the strike zone,L,441,167,240,15,4,0,0,1,0,0,9,1,0,0,0,0,0
Truist Park,Atlanta Braves,Four-seam fastball,FF,2,upper middle inside the strike zone,R,428,324,10,94,16,4,0,8,1,0,58,2,0,0,4,0,1
Truist Park,Atlanta Braves,Cutter,FC,14,low and right outside the strike zone,R,398,105,268,21,7,1,0,0,0,0,13,0,0,0,0,0,0
Truist Park,Atlanta Braves,Four-seam fastball,FF,6,middle right inside the strike zone,R,389,285,7,97,21,9,4,7,0,0,50,0,0,1,4,0,1
Truist Park,Atlanta Braves,Four-seam fastball,FF,12,up and right outside the strike zone,L,378,79,282,17,4,1,0,1,0,1,10,0,0,0,0,0,0
Truist Park,Atlanta Braves,Changeup,CH,13,low and left outside the strike zone,R,364,116,190,57,12,2,0,1,0,0,39,2,0,0,1,0,0
Truist Park,Atlanta Braves,Four-seam fastball,FF,1,upper left inside the strike zone,R,361,264,36,61,16,4,0,1,1,1,35,1,0,0,1,0,1
Truist Park,Atlanta Braves,Sinker,SI,13,low and left outside the strike zone,R,334,102,205,27,4,3,0,0,0,1,17,1,0,0,1,0,0
Truist Park,Atlanta Braves,Sweeper,ST,14,low and right outside the strike zone,R,330,111,188,24,3,0,0,0,0,0,19,2,0,0,0,0,0
Truist Park,Atlanta Braves,Curveball,CU,13,low and left outside the strike zone,R,326,92,195,36,6,1,0,0,1,0,25,1,0,0,2,0,0
Truist Park,Atlanta Braves,Four-seam fastball,FF,4,middle left inside the strike zone,R,314,231,4,79,11,8,0,5,0,0,47,3,0,0,3,0,2
Truist Park,Atlanta Braves,Four-seam fastball,FF,11,up and left outside the strike zone,L,309,62,222,25,6,0,0,0,0,0,15,1,1,1,1,0,0
